Postnr.;Bynavn;Gade;Firma;Provins;Land
1157;Kõbenhavn K;Klosterstrëde;;False;1
1158;Kõbenhavn K;Skoubogade;;False;1
1159;Kõbenhavn K;Skindergade;;False;1
1160;Kõbenhavn K;Amagertorv;;False;1
1161;Kõbenhavn K;Vimmelskaftet;;False;1
1162;Kõbenhavn K;Jorcks Passage;;False;1
1164;Kõbenhavn K;Nygade;;False;1
1165;Kõbenhavn K;Nõrregade;;False;1
1165;Kõbenhavn K;Sankt Petri Passage;;False;1
1166;Kõbenhavn K;Dyrkõb;;False;1
1167;Kõbenhavn K;Bispetorvet;;False;1
1168;Kõbenhavn K;Frue Plads;;False;1
1169;Kõbenhavn K;Store Kannikestrëde;;False;1
1170;Kõbenhavn K;Lille Kannikestrëde;;False;1
1171;Kõbenhavn K;Fiolstrëde;;False;1
1172;Kõbenhavn K;Krystalgade;;False;1
1173;Kõbenhavn K;Peder Hvitfeldts Strëde;;False;1
1174;Kõbenhavn K;RosengÜrden;;False;1
1175;Kõbenhavn K;Kultorvet;;False;1
1200;Kõbenhavn K;Hõjbro Plads;;False;1
1201;Kõbenhavn K;Lëderstrëde;;False;1
1202;Kõbenhavn K;Gammel Strand;;False;1
1203;Kõbenhavn K;Nybrogade;;False;1
1204;Kõbenhavn K;Magstrëde;;False;1
1205;Kõbenhavn K;Snaregade;;False;1
1206;Kõbenhavn K;Nabolõs;;False;1
1207;Kõbenhavn K;Hyskenstrëde;;False;1
1208;Kõbenhavn K;Kompagnistrëde;;False;1
1209;Kõbenhavn K;Badstuestrëde;;False;1
1210;Kõbenhavn K;Knabrostrëde;;False;1
1211;Kõbenhavn K;Brolëggerstrëde;;False;1
1212;Kõbenhavn K;Vindebrogade;;False;1
1213;Kõbenhavn K;Bertel Thorvaldsens Plads;;False;1
1214;Kõbenhavn K;Tõjhusgade;;False;1
1215;Kõbenhavn K;Bõrsgade;;False;1
1216;Kõbenhavn K;Slotsholmsgade;;False;1
1217;Kõbenhavn K;Slotsholmsgade 1;Bõrsen;False;1
1218;Kõbenhavn K;Christiansborg;;False;1
1218;Kõbenhavn K;Christiansborg Ridebane;;False;1
1218;Kõbenhavn K;Christiansborg Slotsplads;;False;1
1218;Kõbenhavn K;Prins Jõrgens GÜrd;;False;1
1218;Kõbenhavn K;Proviantpassagen;;False;1
1218;Kõbenhavn K;RigsdagsgÜrden;;False;1
1219;Kõbenhavn K;Christians Brygge 1-5 og 8;;False;1
1220;Kõbenhavn K;Frederiksholms Kanal;;False;1
1221;Kõbenhavn K;Sõren Kierkegaards Plads;;False;1
1240;Kõbenhavn K;Christiansborg;Folketinget;False;1
1250;Kõbenhavn K;Sankt Annë Plads;;False;1
1251;Kõbenhavn K;Kvësthusgade;;False;1
1252;Kõbenhavn K;Kvësthusbroen;;False;1
1253;Kõbenhavn K;Toldbodgade;;False;1
1254;Kõbenhavn K;Lille Strandstrëde;;False;1
1255;Kõbenhavn K;Store Strandstrëde;;False;1
1256;Kõbenhavn K;Amaliegade;;False;1
1257;Kõbenhavn K;Amalienborg;;False;1
1259;Kõbenhavn K;Nordre Toldbod;;False;1
1259;Kõbenhavn K;Trekroner;;False;1
1260;Kõbenhavn K;Bredgade;;False;1
1261;Kõbenhavn K;Palëgade;;False;1
1263;Kõbenhavn K;Churchillparken;;False;1
1263;Kõbenhavn K;Esplanaden;;False;1
1264;Kõbenhavn K;Store Kongensgade;;False;1
1265;Kõbenhavn K;Frederiksgade;;False;1
1266;Kõbenhavn K;Bornholmsgade;;False;1
1267;Kõbenhavn K;Hammerensgade;;False;1
1268;Kõbenhavn K;Jens Kofods Gade;;False;1
1270;Kõbenhavn K;Grõnningen;;False;1
1271;Kõbenhavn K;Poul Ankers Gade;;False;1
1300;Kõbenhavn K;Borgergade;;False;1
1301;Kõbenhavn K;Landgreven;;False;1
1302;Kõbenhavn K;Dronningens Tvërgade;;False;1
1303;Kõbenhavn K;Hindegade;;False;1
1304;Kõbenhavn K;Adelgade;;False;1
1306;Kõbenhavn K;Kronprinsessegade;;False;1
1307;Kõbenhavn K;Georg Brandes Plads;;False;1
1307;Kõbenhavn K;Sõlvgade;;False;1
1308;Kõbenhavn K;Klerkegade;;False;1
1309;Kõbenhavn K;Rosengade;;False;1
1310;Kõbenhavn K;Fredericiagade;;False;1
1311;Kõbenhavn K;Olfert Fischers Gade;;False;1
1312;Kõbenhavn K;Gammelvagt;;False;1
1313;Kõbenhavn K;Sankt Pauls Gade;;False;1
1314;Kõbenhavn K;Sankt Pauls Plads;;False;1
1315;Kõbenhavn K;Rëvegade;;False;1
1316;Kõbenhavn K;Rigensgade;;False;1
1317;Kõbenhavn K;Stokhusgade;;False;1
1318;Kõbenhavn K;Krusemyntegade;;False;1
1319;Kõbenhavn K;Gernersgade;;False;1
1320;Kõbenhavn K;Haregade;;False;1
1321;Kõbenhavn K;Tigergade;;False;1
1322;Kõbenhavn K;Suensonsgade;;False;1
1323;Kõbenhavn K;Hjertensfrydsgade;;False;1
1324;Kõbenhavn K;Elsdyrsgade;;False;1
1325;Kõbenhavn K;Delfingade;;False;1
1326;Kõbenhavn K;Krokodillegade;;False;1
1327;Kõbenhavn K;Vildandegade;;False;1
1328;Kõbenhavn K;Svanegade;;False;1
1329;Kõbenhavn K;Timiansgade;;False;1
1350;Kõbenhavn K;ùster Voldgade;;False;1
1352;Kõbenhavn K;Rõrholmsgade;;False;1
1353;Kõbenhavn K;ùster Farimagsgade 3-15 og 2;;False;1
1354;Kõbenhavn K;Ole Suhrs Gade;;False;1
1355;Kõbenhavn K;Gammeltoftsgade;;False;1
1356;Kõbenhavn K;Bartholinsgade;;False;1
1357;Kõbenhavn K;ùster Sõgade 8-36;;False;1
1358;Kõbenhavn K;Nõrre Voldgade;;False;1
1359;Kõbenhavn K;Ahlefeldtsgade;;False;1
1359;Kõbenhavn K;Charlotte Ammundsens Plads;;False;1
1360;Kõbenhavn K;Frederiksborggade;;False;1
1361;Kõbenhavn K;Israels Plads;;False;1
1361;Kõbenhavn K;LinnÇsgade;;False;1
1362;Kõbenhavn K;Rõmersgade;;False;1
1363;Kõbenhavn K;Vendersgade;;False;1
1364;Kõbenhavn K;Nõrre Farimagsgade;;False;1
1365;Kõbenhavn K;Schacksgade;;False;1
1366;Kõbenhavn K;Nansensgade;;False;1
1367;Kõbenhavn K;Kjeld Langes Gade;;False;1
1368;Kõbenhavn K;Turesensgade;;False;1
1369;Kõbenhavn K;Gyldenlõvesgade lige nr.;;False;1
1370;Kõbenhavn K;Nõrre Sõgade;;False;1
1371;Kõbenhavn K;Sõtorvet;;False;1
1400;Kõbenhavn K;Knippelsbro;;False;1
1400;Kõbenhavn K;Torvegade;;False;1
1401;Kõbenhavn K;Strandgade;;False;1
1402;Kõbenhavn K;Asiatisk Plads;;False;1
1402;Kõbenhavn K;David Balfours Gade;;False;1
1402;Kõbenhavn K;Hammershõi Kaj;;False;1
1402;Kõbenhavn K;Johan Semps Gade;;False;1
1402;Kõbenhavn K;Nicolai Eigtveds Gade;;False;1
1403;Kõbenhavn K;Wilders Plads;;False;1
1406;Kõbenhavn K;Christianshavns Kanal;;False;1
1407;Kõbenhavn K;BÜdsmandsstrëde;;False;1
1408;Kõbenhavn K;Wildersgade;;False;1
1409;Kõbenhavn K;Knippelsbrogade;;False;1
1410;Kõbenhavn K;Christianshavns Torv;;False;1
1411;Kõbenhavn K;Langebrogade;;False;1
1411;Kõbenhavn K;Applebys Plads;;False;1
1412;Kõbenhavn K;VoldgÜrden;;False;1
1413;Kõbenhavn K;Ved Kanalen;;False;1
1414;Kõbenhavn K;Overgaden Neden Vandet;;False;1
1415;Kõbenhavn K;Overgaden Oven Vandet;;False;1
1416;Kõbenhavn K;Sankt Annë Gade;;False;1
1417;Kõbenhavn K;Mikkel Vibes Gade;;False;1
1418;Kõbenhavn K;Sofiegade;;False;1
1419;Kõbenhavn K;Store Sõndervoldstrëde;;False;1
1420;Kõbenhavn K;Dronningensgade;;False;1
1421;Kõbenhavn K;Lille Sõndervoldstrëde;;False;1
1422;Kõbenhavn K;Prinsessegade;;False;1
1423;Kõbenhavn K;Amagergade;;False;1
1424;Kõbenhavn K;Christianshavns Voldgade;;False;1
1425;Kõbenhavn K;Ved Volden;;False;1
1426;Kõbenhavn K;Voldboligerne;;False;1
1427;Kõbenhavn K;Brobergsgade;;False;1
1428;Kõbenhavn K;Andreas Bjõrns Gade;;False;1
1429;Kõbenhavn K;Burmeistersgade;;False;1
1430;Kõbenhavn K;Bodenhoffs Plads;;False;1
1432;Kõbenhavn K;Margretheholmsvej;;False;1
1432;Kõbenhavn K;Refshalevej;;False;1
1432;Kõbenhavn K;William Wains Gade;;False;1
1433;Kõbenhavn K;Christiansholms ù;;False;1
1433;Kõbenhavn K;Flakfortet;;False;1
1433;Kõbenhavn K;Lynetten;;False;1
1433;Kõbenhavn K;Margretheholm;;False;1
1433;Kõbenhavn K;Middelgrundsfortet;;False;1
1433;Kõbenhavn K;Quintus;;False;1
1433;Kõbenhavn K;Refshaleõen;;False;1
1434;Kõbenhavn K;Danneskiold-Samsões AllÇ;;False;1
1434;Kõbenhavn K;KuglegÜrdsvej;;False;1
1435;Kõbenhavn K;Philip De Langes AllÇ;;False;1
1436;Kõbenhavn K;Arsenalvej;;False;1
1436;Kõbenhavn K;Halvtolv;;False;1
1436;Kõbenhavn K;KuglegÜrden;;False;1
1436;Kõbenhavn K;Sõartillerivej;;False;1
1436;Kõbenhavn K;Trangravsvej;;False;1
1436;Kõbenhavn K;Vërftsbroen;;False;1
1437;Kõbenhavn K;Bohlendachvej;;False;1
1437;Kõbenhavn K;Eik Skalões Plads;;False;1
1437;Kõbenhavn K;Fabrikmestervej;;False;1
1437;Kõbenhavn K;Galionsvej;;False;1
1437;Kõbenhavn K;KanonbÜdsvej;;False;1
1437;Kõbenhavn K;Leo Mathisens Vej;;False;1
1437;Kõbenhavn K;Masteskursvej;;False;1
1437;Kõbenhavn K;Per Knutzons Vej;;False;1
1437;Kõbenhavn K;Schifters Kvarter;;False;1
1437;Kõbenhavn K;Stibolts Kvarter;;False;1
1437;Kõbenhavn K;Takkelloftsvej;;False;1
1437;Kõbenhavn K;Theodor Christensens Plads;;False;1
1438;Kõbenhavn K;Benstrups Kvarter;;False;1
1438;Kõbenhavn K;Dokõvej;;False;1
1438;Kõbenhavn K;Ekvipagemestervej;;False;1
1438;Kõbenhavn K;Judichërs Plads;;False;1
1438;Kõbenhavn K;Orlogsvërftvej;;False;1
